time,open,high,low,close
2019-04-29,505.7,508.4,503.15,505.25
2019-04-30,505.1,509.4,503.75,503.75
2019-05-02,503.5,506.05,498.4,504
2019-05-03,503.5,508.5,501.35,505
2019-05-06,505,509.5,500.65,505.5
2019-05-07,503.5,508.55,502.1,503.3
2019-05-08,504.1,506.85,501.9,501.9
2019-05-10,502.1,505.7,498.15,499
2019-05-13,499.65,505,499.65,500.1
2019-05-14,504.25,504.4,500.4,501.8
2019-05-15,496.95,497.3,490.8,495
2019-05-16,496,497.6,492.45,493
2019-05-17,492.5,494,484.4,484.45
2019-05-20,487,487.4,476,477.3
2019-05-21,477.8,486.2,477.8,483.3
2019-05-22,483,491.55,482.35,490.6
2019-05-23,489.5,497.2,489.1,497.2
2019-05-24,497.5,500.15,494.3,498.5
2019-05-27,498.7,499.5,494.15,498.55
2019-05-28,498.7,501,495.6,497
2019-05-29,496.9,505.3,496.35,505.3
2019-05-30,506,508.3,503.65,507.5
2019-05-31,506.5,517.05,506.05,517.05
2019-06-03,517.95,524.95,517.5,524.4
2019-06-04,524.9,526.95,521.6,526.95
2019-06-05,527,532.8,526,532.3
2019-06-06,531.65,534.55,528,532.6
2019-06-07,532.2,546,530.5,546
2019-06-10,544,549.15,533.05,548.5
2019-06-11,547.8,557.6,546.45,557.6
2019-06-13,557.5,563.7,555.25,558
2019-06-14,560,574,558.5,572.1
2019-06-17,574.95,579.1,560,560
2019-06-18,561.8,572.95,561,564.6
2019-06-19,564.9,572.6,548.7,556
2019-06-20,565,569.2,561,563.85
2019-06-21,565.1,580.85,561.25,580.55
2019-06-24,580,597.35,574.75,593.1
2019-06-25,594.7,598.95,588.5,593.1
2019-06-26,591,596.45,582.55,589.6
2019-06-27,587.5,592.45,580.1,583.6
2019-06-28,585,586.95,576.45,582.8
2019-07-01,577.5,580.95,565,569.5
2019-07-02,567.45,584.8,567.45,584.8
2019-07-03,590.5,605.8,585.35,602.9
2019-07-04,603,611.45,595.8,610.85
2019-07-05,610.05,628.4,606.4,620
2019-07-08,621.7,626.95,618.85,622.5
2019-07-09,619.6,625.95,617.4,620.9
2019-07-10,626.55,635.75,615.05,629.3
2019-07-11,633.7,636.15,616.5,622.5
2019-07-12,620,640,613.25,631.6
2019-07-15,632.2,634.3,625.8,630
2019-07-16,628.3,639.7,628.3,637.15
2019-07-17,635.5,639.8,630.8,638.5
2019-07-18,639.3,643,633.35,641.3
2019-07-19,643,649.95,641.3,647.2
2019-07-22,652.25,655,645.05,647.6
2019-07-23,643,645.15,620.1,640
2019-07-24,640,642.7,631.55,641.6
2019-07-25,641.25,649,636.25,649
2019-07-26,648.5,649.5,634.15,641.25
2019-07-29,641.15,648.5,638,646.75
2019-07-30,648.75,650.1,645.15,650
2019-07-31,650,650,646,646
2019-08-01,643.3,646.55,637.45,643.1
2019-08-02,647.9,658.2,643.65,651
2019-08-05,655.95,689,654.75,684.45
2019-08-06,690,698.65,678.2,679.15
2019-08-07,684,697.95,682.75,694.4
2019-08-08,695,696.7,688.05,689.75
2019-08-09,693.25,703.55,691.15,701
2019-08-12,700.95,711.65,697.15,709
2019-08-13,719.4,719.95,688.6,702.4
2019-08-14,696,724.9,695.15,719.4
2019-08-15,722.2,730,716.1,725.4
2019-08-16,725.4,726.5,709.35,713
2019-08-19,713,725,706.8,720
2019-08-20,721.7,735,721.7,731.4
2019-08-21,733.5,734.05,718.85,724.4
2019-08-22,725.95,727,710,723.6
2019-08-23,725.2,730.8,718.15,728
2019-08-26,733.7,749,731.45,748.5
2019-08-27,750,762.35,745.2,757.4
2019-08-28,757.5,757.85,744.3,751
2019-08-29,753.5,760,750.85,752.4
2019-08-30,751.1,766.5,746.45,766.5
2019-09-02,767,767.2,755.05,760
2019-09-03,758.75,764.7,755.1,761.85
2019-09-04,762.8,763.85,750.65,757.35
2019-09-05,759.5,760,735.25,740
2019-09-06,739,752.5,652.7,747
2019-09-09,746.9,748,727.95,738.3
2019-09-10,732.5,737,725.8,730.1
2019-09-11,726,744.8,721.65,744
2019-09-12,740.65,750.75,738,750
2019-09-13,750.75,762.2,740,745.75
2019-09-16,745.75,780.9,743.45,763.6
2019-09-17,763.6,775,758.2,773.4
2019-09-18,776.75,780,772.05,778.45
2019-09-19,775.65,776.85,770.25,773.1
2019-09-20,774.85,779.9,766.1,777
2019-09-23,778.05,779.05,759.3,764
2019-09-24,764.9,773.7,764.75,772.05
2019-09-25,774.95,783.3,771.8,777.85
2019-09-26,778.6,779,768.4,777.5
2019-09-27,777.3,779.25,750,756.15
2019-09-30,765.2,765.2,742.65,754.5
2019-10-01,750.2,758.1,741.25,754.9
2019-10-02,754.4,759.4,745.1,745.2
2019-10-03,751.3,753.85,742.1,747.75
2019-10-04,750.95,757,746.25,752.5
2019-10-07,753.8,756.4,747.3,751.5
2019-10-08,750,773.9,748.35,768
2019-10-09,754.15,763.1,754,757.55
2019-10-10,758,758.5,748.25,753.05
2019-10-11,751,751.1,722.4,726
2019-10-14,730,731.75,711.6,715.9
2019-10-15,716.05,730,702.6,711.1
2019-10-16,711.1,733.1,709.75,728.65
2019-10-17,728.7,734.45,710,721
2019-10-18,724,740,717.1,740
2019-10-21,739.75,740.9,715.6,721.3
2019-10-22,721.45,728.9,708.6,713
2019-10-23,716,723,711.2,716
2019-10-24,715,730,711.8,727.65
2019-10-25,729.4,730.45,716.4,725.9
2019-10-28,723,749.35,721.45,730.1
2019-10-29,730,739.85,724.65,729.7
2019-10-30,730.55,735.4,717,735.4
2019-10-31,736,764.15,734.65,746.9
2019-11-01,747,762.1,740,740
2019-11-05,747.4,756.8,732.5,737.7
2019-11-06,735.9,761.6,735.9,761.6
2019-11-07,759.95,761.65,740.2,741.5
2019-11-08,734.75,741.75,714,719.5
2019-11-11,719.7,731.9,715.8,718.5
2019-11-12,719,721,700.35,704.75
2019-11-13,706.8,716.95,706,713.7
2019-11-14,714.5,717,704,709.3
2019-11-15,709.2,710,700.5,708.4
2019-11-18,705.05,707.85,693,705.25
2019-11-19,705,706,695.7,698.35
2019-11-20,699.5,713.5,698.6,704.05
2019-11-21,701.8,704.9,681.45,683.2
